from,to,weight
Platzeck,11,3
Pofalla,"9,2",3
Praetorius,7,3
Tillich,9,3
"Hasselfeldt
","2,1",2
"Kampeter
","2,9",2
Kapferer,"6,1",2
Kempf,5,2
Nemat,5,1
Reiche,"2,6",1
Röstel,"6, 12",2
Schweitzer,5,2
Grothus,4,1
Wodtke,"4, 9",1
Herntier,"1, 5",1
Kreuzberg,9,1
Priggen,"12, 4",1
Vassiliadis,"5, 11",3
Scheidt,"11,3",2
Körzell,"3, 11",3
Kaiser,4,1
Weiger,4,3
Niebert,"4,7",1
Allmendinger,7,1
Matthes,7,1
Schellnhuber,"7,4",2
Niebuhr,7,1
Wehrspohn,7,2
Lämmel,"9,8",1
Lenz,10,1
Miersch,"8,11",1